index_code,date,open,close,low,high,volume,money,change
sh000001,2017-03-22,3246.220000,3245.220000,3229.130000,3255.780000,18973164900.000000,244545460000.000000,-0.005025
sh000002,2017-03-22,3399.130000,3398.110000,3381.240000,3409.170000,18933445400.000000,244269360000.000000,-0.005027
sh000003,2017-03-22,350.590000,349.500000,348.230000,350.590000,39719500.000000,276100000.000000,-0.004274
sh000004,2017-03-22,2614.430000,2620.720000,2603.260000,2625.340000,10597123500.000000,144417210000.000000,-0.003002
sh000005,2017-03-22,4280.030000,4276.940000,4247.630000,4289.360000,1131640300.000000,23242640000.000000,-0.006594
sh000006,2017-03-22,6767.190000,6763.370000,6755.680000,6838.290000,604212500.000000,5873910000.000000,-0.006888
sh000007,2017-03-22,6449.290000,6506.240000,6434.050000,6524.340000,2732035800.000000,26996350000.000000,0.002765
sh000008,2017-03-22,2773.340000,2754.360000,2747.740000,2773.850000,3908152700.000000,44015350000.000000,-0.009843
sh000009,2017-03-22,5764.270000,5780.590000,5743.600000,5790.190000,4179546100.000000,51704570000.000000,-0.001651
sh000010,2017-03-22,7483.580000,7465.720000,7439.180000,7506.040000,7269877700.000000,76799700000.000000,-0.006576
sh000016,2017-03-22,2347.860000,2338.550000,2330.120000,2352.760000,3289198200.000000,37345960000.000000,-0.007887
sh000017,2017-03-22,2740.560000,2739.740000,2726.130000,2748.660000,18930994500.000000,244191770000.000000,-0.005030
sh000020,2017-03-22,1597.610000,1594.110000,1585.520000,1601.580000,2984987400.000000,43866930000.000000,-0.006333
sh000032,2017-03-22,1617.130000,1620.980000,1607.980000,1623.260000,760539500.000000,6553220000.000000,-0.005589
sh000033,2017-03-22,1899.950000,1892.370000,1884.510000,1904.220000,1306055100.000000,10346150000.000000,-0.008015
sh000034,2017-03-22,2414.440000,2431.950000,2408.990000,2452.080000,2593285100.000000,24154200000.000000,0.002858
sh000035,2017-03-22,2820.610000,2832.280000,2810.470000,2835.070000,636467300.000000,8986070000.000000,-0.001026
